Course,Recommendation
applied data science capstone,Not recommended
creative writing the craft of plot,Recommended
data analysis with python,Not recommended
mathematics for machine learning pca,Not recommended
data science methodology,Not recommended
getting started with google kubernetes engine,Not recommended
introduction to marketing,Recommended
introduction to software product management,Recommended
accounting analytics,Not recommended
programming fundamentals,Recommended
positive psychology resilience skills,Recommended
object oriented programming in java,Recommended
python data structures,Recommended
python for data science and ai,Not recommended
drug development,Not recommended
capstone retrieving processing and visualizing data with python,Not recommended
drug commercialization,Recommended
fundamental neuroscience for neuroimaging,Recommended
the data scientists toolbox,Not recommended
greening the economy sustainable cities,Recommended
teach english now foundational principles,Recommended
programming for everybody getting started with python,Recommended
everyday parenting the abcs of child rearing,Recommended
modern art ideas,Recommended
sql for data science,Not recommended
improving deep neural networks hyperparameter tuning regularization and optimization,Recommended
introduction to corporate finance,Not recommended
convolutional neural networks,Not recommended
excel skills for business intermediate i,Recommended
introduction to structured query language sql,Recommended
continuous delivery devops,Not recommended
neural networks and deep learning,Recommended
behavioral finance,Not recommended
fundamentals of graphic design,Recommended
customer analytics,Recommended
dog emotion and cognition,Recommended
introduction to spreadsheets and models,Not recommended
introduction to git and github,Recommended
introduction to operations management,Not recommended
excel skills for business intermediate ii,Recommended
initiating and planning projects,Recommended
access controls,Not recommended
frontend web ui frameworks and tools bootstrap,Recommended
introduccin a la programacin en python i aprendiendo a programar con python,Not recommended
machine learning,Recommended
structuring machine learning projects,Recommended
hacia una prctica constructivista en el aula,Recommended
financial markets,Recommended
learn to program the fundamentals,Recommended
introduction to molecular spectroscopy,Recommended
r programming,Not recommended
international organizations management,Recommended
introduction to artificial intelligence ai,Recommended
ai for everyone,Recommended
fashion as design,Recommended
build a modern computer from first principles from nand to tetris projectcentered course,Recommended
fundamentals of visualization with tableau,Not recommended
the modern world part two global history since,Recommended
using databases with python,Recommended
introduction to international criminal law,Recommended
operating systems and you becoming a power user,Not recommended
aws fundamentals addressing security risk,Not recommended
tools for data science,Not recommended
crash course on python,Recommended
it security defense against the digital dark arts,Recommended
applied machine learning in python,Not recommended
getting started with essay writing,Recommended
sequence models,Recommended
version control with git,Recommended
applied plotting charting data representation in python,Not recommended
biohacking your brains health,Recommended
forensic accounting and fraud examination,Recommended
what is data science,Not recommended
algorithmic toolbox,Not recommended
using python to access web data,Recommended
